001- 0.159 Hz-6.300 T   [315.000-1230.469]
002- 0.317 Hz-3.150 T   [157.500-615.234]
003- 0.476 Hz-2.100 T   [105.000-410.156]
004- 0.635 Hz-1.575 T   [78.750-307.617]
005- 0.794 Hz-1.260 T   [63.000-246.094]
006- 0.952 Hz-1.050 T   [52.500-205.078]
007- 1.111 Hz-0.900 T   [45.000-175.781]
008- 1.270 Hz-0.788 T   [39.375-153.809]
009- 1.429 Hz-0.700 T   [35.000-136.719]
010- 1.587 Hz-0.630 T   [31.500-123.047]
011- 1.746 Hz-0.573 T   [28.636-111.861]
012- 1.905 Hz-0.525 T   [26.250-102.539]
013- 2.063 Hz-0.485 T   [24.231-94.651]
014- 2.222 Hz-0.450 T   [22.500-87.891]
015- 2.381 Hz-0.420 T   [21.000-82.031]
016- 2.540 Hz-0.394 T   [19.688-76.904]
017- 2.698 Hz-0.371 T   [18.529-72.381]
018- 2.857 Hz-0.350 T   [17.500-68.359]
019- 3.016 Hz-0.332 T   [16.579-64.762]
020- 3.175 Hz-0.315 T   [15.750-61.523]
021- 3.333 Hz-0.300 T   [15.000-58.594]
022- 3.492 Hz-0.286 T   [14.318-55.930]
023- 3.651 Hz-0.274 T   [13.696-53.499]
024- 3.810 Hz-0.263 T   [13.125-51.270]
025- 3.968 Hz-0.252 T   [12.600-49.219]
026- 4.127 Hz-0.242 T   [12.115-47.326]
027- 4.286 Hz-0.233 T   [11.667-45.573]
028- 4.444 Hz-0.225 T   [11.250-43.945]
029- 4.603 Hz-0.217 T   [10.862-42.430]
030- 4.762 Hz-0.210 T   [10.500-41.016]
031- 4.921 Hz-0.203 T   [10.161-39.693]
032- 5.079 Hz-0.197 T   [9.844-38.452]
033- 5.238 Hz-0.191 T   [9.545-37.287]
034- 5.397 Hz-0.185 T   [9.265-36.190]
035- 5.556 Hz-0.180 T   [9.000-35.156]
036- 5.714 Hz-0.175 T   [8.750-34.180]
037- 5.873 Hz-0.170 T   [8.514-33.256]
038- 6.032 Hz-0.166 T   [8.289-32.381]
039- 6.190 Hz-0.162 T   [8.077-31.550]
040- 6.349 Hz-0.158 T   [7.875-30.762]
041- 6.508 Hz-0.154 T   [7.683-30.011]
042- 6.667 Hz-0.150 T   [7.500-29.297]
043- 6.825 Hz-0.147 T   [7.326-28.616]
044- 6.984 Hz-0.143 T   [7.159-27.965]
045- 7.143 Hz-0.140 T   [7.000-27.344]
046- 7.302 Hz-0.137 T   [6.848-26.749]
047- 7.460 Hz-0.134 T   [6.702-26.180]
048- 7.619 Hz-0.131 T   [6.563-25.635]
049- 7.778 Hz-0.129 T   [6.429-25.112]
050- 7.937 Hz-0.126 T   [6.300-24.609]
051- 8.095 Hz-0.124 T   [6.176-24.127]
052- 8.254 Hz-0.121 T   [6.058-23.663]
053- 8.413 Hz-0.119 T   [5.943-23.216]
054- 8.571 Hz-0.117 T   [5.833-22.786]
055- 8.730 Hz-0.115 T   [5.727-22.372]
056- 8.889 Hz-0.112 T   [5.625-21.973]
057- 9.048 Hz-0.111 T   [5.526-21.587]
058- 9.206 Hz-0.109 T   [5.431-21.215]
059- 9.365 Hz-0.107 T   [5.339-20.855]
060- 9.524 Hz-0.105 T   [5.250-20.508]
061- 9.683 Hz-0.103 T   [5.164-20.172]
062- 9.841 Hz-0.102 T   [5.081-19.846]
063-10.000 Hz-0.100 T   [5.000-19.531]
